A Burning	Megha Majumdar
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers	Ben Horowitz
How Brands Grow: What Marketers Don't Know	Byron Sharp
Why We're Polarized	Ezra Klein
Don't Overthink It: Make Easier Decisions, Stop Second-Guessing, and Bring More Joy to Your Life	Anne Bogel
Antisocial Media: How Facebook Disconnects Us and Undermines Democracy	Siva Vaidhyanathan
Why the West Rules—for Now: The Patterns of History, and What They Reveal About the Future	Jan Morris
After the Ice: A Global Human History, 20,000-5000 BC	Steven Mithen
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism	Olivia Fox Cabane
Will My Cat Eat My Eyeballs? Big Questions from Tiny Mortals About Death	Caitlin Doughty
The Man Who Mistook His Wife for a Hat and Other Clinical Tales	Oliver Sacks
Making Up the Mind: How the Brain Creates Our Mental World	Chris Frith
The Only Plane in the Sky: An Oral History of 9/11	Garrett M Graff
Mindf*ck: Cambridge Analytica and the Plot to Break America	Christopher Wylie
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster	Adam Higginbotham
How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence	Michael Pollan
